málsnúmer;málsheiti;staða máls;heildartími;nefndir
58;kosningar til Alþingis;Ekki útrætt á 145. þingi. (Var í nefnd eftir 1. umræðu.);0:42:00;
59;tekjustofnar sveitarfélaga;;;
60;sanngirnisbætur fyrir misgjörðir á stofnunum eða heimilum sem falla undir lög nr. 26/2007;Samþykkt sem lög frá Alþingi.;0:25:00;
61;aðild Íslands að yfirlýsingu um bann við kjarnavopnum;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
62;gjald af áfengi og tóbaki;Ekki útrætt á 145. þingi. (Beið 1. umræðu.);;
63;framhaldsskólar;Ekki útrætt á 145. þingi. (Beið 1. umræðu.);;
64;réttur til lyfjameðferðar í heilbrigðisþjónustu;;;
65;kaup ríkisins á Grímsstöðum á Fjöllum;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
66;þjóðaratkvæðagreiðsla um aðild Íslands að Norður-Atlantshafsbandalaginu;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
67;seinkun klukkunnar og bjartari morgnar;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
68;alþjóðlegt bann við framleiðslu og beitingu sjálfvirkra og sjálfstýrðra vígvéla;Samþykkt sem ályktun Alþingis.;2:12:00;
69;stofnun Landsiðaráðs;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
70;óundirbúinn fyrirspurnatími;;;
71;samþjöppun í mjólkurframleiðslu;;;
72;samgönguáætlun, afkoma sveitarfélaga;;;
73;kjarasamningar lögreglumanna;;;
74;börn sem búa á tveimur heimilum;;;
75;fjármögnun Framkvæmdasjóðs ferðamannastaða;;1:00:00;
76;uppbygging ferðamannastaða;;0:54:00;
77;samstarf við Grænland og Færeyjar um sjávarútvegsmál;Samþykkt sem ályktun Alþingis.;0:59:00;
78;innflutningur nautasæðis til eflingar innlendri mjólkurframleiðslu;Ekki útrætt á 145. þingi. (Var í nefnd eftir fyrri umræðu.);;
79;millilandaflug um Vestmannaeyjaflugvöll og Ísafjarðarflugvöll;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
80;efling virkniúrræða fyrir atvinnuleitendur;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
81;hagræn áhrif kvikmyndagerðar á Íslandi;;;
82;blandaðar bardagaíþróttir;;;
83;vernd, velferð og veiðar villtra fugla og spendýra;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
84;skipun nefndar er geri tillögur um atvinnulýðræði;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
85;búvörulög;Ekki útrætt á 145. þingi. (Var í nefnd eftir 1. umræðu.);;
86;tekjuskattur;Ekki útrætt á 145. þingi. (Var í nefnd eftir 1. umræðu.);;
87;óundirbúinn fyrirspurnatími;;;
88;loftslagsmál;;;
89;beiting Dyflinnarreglugerðarinnar;;;
90;málefni hælisleitenda;;;
91;skipan hæstaréttardómara;;11:16:00;
92;kostnaður vegna gjaldþrotaskipta;;;
93;landsnet ferðaleiða;Fyrirspurninni var svarað skriflega.;;
94;aukatekjur presta þjóðkirkjunnar;Fyrirspurninni var svarað skriflega.;;
95;þjónusta presta og mismunun á grundvelli kynhneigðar;Fyrirspurninni var svarað skriflega.;;
96;endurgreiðslukröfur Fæðingarorlofssjóðs;Fyrirspurninni var svarað skriflega.;;
97;kynáttunarvandi og lagaframkvæmd;Fyrirspurninni var svarað skriflega.;;
98;skýrsla Ríkisendurskoðunar um varnir gegn mengun sjávar frá skipum;Fyrirspurninni var svarað skriflega.;;
99;alþjóðlegur dagur lýðræðis;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
100;almenn hegningarlög;Vísað til ríkisstjórnar.;;
101;landsskipulagsstefna 2015--2026;Samþykkt sem ályktun Alþingis.;0:57:00;
102;mótun stefnu stjórnvalda um flokkun, vernd og skráningu ræktunarlands;Ekki útrætt á 145. þingi. (Var í nefnd eftir fyrri umræðu.);;
103;losun gróðurhúsalofttegunda;Fyrirspurninni var svarað skriflega.;;
104;viðurlög við ölvunar- og vímuefnaakstri;;1:39:00;
105;þátttökulýðræði;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
106;hlutafélög;Ekki útrætt á 145. þingi. (Beið 1. umræðu.);;
107;útsvarstekjur sveitarfélaga;Fyrirspurninni var svarað skriflega.;;
108;skattfrjáls útgreiðsla séreignarsparnaðar;Fyrirspurninni var svarað skriflega.;;
109;eignir og tekjur landsmanna;Fyrirspurninni var svarað skriflega.;;
110;nethlutleysi og endurskoðun fjarskiptalaga;Fyrirspurninni var svarað skriflega.;;
111;endurgreiðslur vegna gleraugnakaupa;Fyrirspurninni var svarað skriflega.;;
112;ríkisendurskoðandi og endurskoðun ríkisreikninga;Samþykkt sem lög frá Alþingi.;6:37:00;
113;framkvæmd laga um verndarsvæði í byggð;Fyrirspurninni var svarað skriflega.;;
114;undirbúningur að gerð þjóðhagsáætlana til langs tíma;Samþykkt sem ályktun Alþingis.;0:20:00;
115;óundirbúinn fyrirspurnatími;;3:41:00;
116;menning á landsbyggðinni;;;
117;stöðugleikaframlög;;;
118;efnahagsleg áhrif stöðugleikaskilyrða;;;
119;fjárframlög til rannsókna í ferðaþjónustu;;;
120;upplýsinga- og sannleiksskylda ráðherra;;;
121;fjárhagsvandi tónlistarskólanna;;;
122;aukin lýðræðisvitund barna og ungmenna;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
123;40 stunda vinnuvika o.fl.;Ekki útrætt á 145. þingi. (Beið 1. umræðu.);;
124;þjónusta við börn með alvarlegar þroska- og geðraskanir;Fyrirspurninni var svarað skriflega.;;
125;stóriðja og orkuverð;Fyrirspurninni var svarað skriflega.;;
126;aðgerðir til verndunar búsetu og menningarlandslags samkvæmt þingsályktun nr. 35/128;Fyrirspurninni var svarað skriflega.;;
127;forritun sem hluti af skyldunámi;Fyrirspurninni var svarað munnlega.;;
128;óundirbúinn fyrirspurnatími;;;
129;dýravelferð;;;
130;afsláttur erlendra kröfuhafa slitabúa bankanna;;;
131;kaup á nýjum ráðherrabíl;;0:02:00;
132;störf nefndar um endurskoðun stjórnarskrárinnar;;0:20:00;
133;sálfræðiþjónusta í framhaldsskólum;;3:47:00;
134;ný stefna í ferðamálum;;;
135;staða friðlýsingar á svæðum og virkjunarkostum í verndarflokki;Fyrirspurninni var svarað skriflega.;;
136;notkun dróna;Fyrirspurninni var svarað munnlega.;;
137;samfélagsþjónusta og niðurfelling fangavistar;Fyrirspurninni var svarað skriflega.;;
138;fangelsismál kvenna;Fyrirspurninni var svarað skriflega.;;
139;peningaþvætti og fjármögnun hryðjuverka;Samþykkt sem lög frá Alþingi.;1:10:00;
140;náttúruvernd;Samþykkt sem lög frá Alþingi.;1 day, 12:07:00;
141;mat á umhverfisáhrifum;Ekki útrætt á 145. þingi. (Beið 1. umræðu.);;
142;samstarfsverkefni um innleiðingu notendastýrðrar persónulegrar aðstoðar við fatlað fólk;Fyrirspurninni var svarað skriflega.;;
143;styrking hjólreiða á Íslandi;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
144;bann við mismunun;Ekki útrætt á 145. þingi. (Var í nefnd eftir 1. umræðu.);;
145;óundirbúinn fyrirspurnatími;;;
146;málefni fatlaðra;;;
147;atvinnumál sextugra og eldri;;;
148;löggæslumál;;13:17:00;
149;áhrif verkfalla á heilbrigðisþjónustu;;;
150;húsnæðisfrumvörp;;0:28:00;
151;lögreglumenn;;;
152;háhraðanettengingar;;;
153;húsaleigubætur;Ekki útrætt á 145. þingi. (Beið 1. umræðu.);;
154;niðurfelling vega af vegaskrá;Fyrirspurninni var svarað skriflega.;;
155;hæfnispróf í framhaldsskólum;Fyrirspurninni var svarað munnlega.;;
156;þjóðfáni Íslendinga og ríkisskjaldarmerkið;Samþykkt sem lög frá Alþingi.;3:30:00;
157;samningur Sameinuðu þjóðanna um réttindi fatlaðs fólks;Samþykkt sem lög frá Alþingi.;0:27:00;
158;flugvallarsvæðið í Vatnsmýrinni;Fyrirspurninni var svarað munnlega.;;
159;óundirbúinn fyrirspurnatími;;;
160;aðgerðaáætlun gegn súrnun sjávar á norðurslóðum;Samþykkt sem ályktun Alþingis.;0:47:00;
161;afsláttur af stöðugleikaskatti;;;
162;verkföll og launakröfur ríkisstarfsmanna;;;
163;loftslagsráðstefnan í París;;;
164;nýir kjarasamningar og verðbólga;;;
165;verkföll í heilbrigðiskerfinu;;;
166;fjöldi nemenda í framhaldsskólum;Fyrirspurninni var svarað skriflega.;;
167;áhrif samnings við ESB um tollaniðurfellingu og tollalækkun á landbúnaðarvörum;Fyrirspurninni var svarað skriflega.;;
168;jafnt búsetuform barna sem búa á tveimur heimilum;;;
169;umbætur á fyrirkomulagi peningamyndunar;Ekki útrætt á 145. þingi. (Beið síðari umræðu.);3:01:00;
170;brottnám líffæra;Ekki útrætt á 145. þingi. (Beið 1. umræðu.);;
171;skattlagning á fjármagnshreyfingar -- Tobin-skattur;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
172;tekjuskattur o.fl.;Samþykkt sem lög frá Alþingi.;9:30:00;
173;samþjöppun aflaheimilda og veiðigjald;Fyrirspurninni var svarað skriflega.;;
174;sjálfkeyrandi bílar;Fyrirspurninni var svarað munnlega.;;
175;bifreiðastyrkir til hreyfihamlaðra;Fyrirspurninni var svarað munnlega.;;
176;innheimta dómsekta;Fyrirspurninni var svarað skriflega.;;
177;heimild samkynhneigðra karla til að gefa blóð;Fyrirspurninni var svarað skriflega.;;
178;framhaldsskólar, aldur o.fl.;Fyrirspurninni var svarað skriflega.;;
179;óundirbúinn fyrirspurnatími;;;
180;gjaldtaka á ferðamannastöðum;;3:45:00;
181;forsendur stöðugleikaframlaga;;;
182;stöðugleikaskattur og stöðugleikaframlög;;;
183;refsirammi í fíkniefnamálum;;;
184;flóttamannamálin;;0:37:00;
185;hælisleitendur;;0:30:00;
186;ákvörðun EES-nefndarinnar nr. 122/2015 um breytingu á XX. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;0:55:00;
187;ákvörðun EES-nefndarinnar nr. 143/2015 um breytingu á II. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;;
188;ákvörðun EES-nefndarinnar nr. 15/2015 um breytingu á II. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;0:03:00;
189;ákvörðun EES-nefndarinnar nr. 117/2015 um breytingu á XX. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;0:00:00;
190;óundirbúinn fyrirspurnatími;;;
191;málefni Ríkisútvarpsins;;0:00:00;
192;leki trúnaðarupplýsinga á LSH;;;
193;stöðugleikaframlag slitabúa föllnu bankanna;;;
194;framkvæmd laga um verndarsvæði í byggð;;;
195;móttaka flóttamanna;;;
196;efnahagsleg áhrif af komu flóttamanna;Fyrirspurninni var svarað munnlega.;;
197;almannatryggingar;Samþykkt sem lög frá Alþingi.;2:43:00;
198;framkvæmd samgönguáætlunar 2013;;;
199;Haf- og vatnarannsóknir;Samþykkt sem lög frá Alþingi.;0:00:00;
200;sameining Hafrannsóknastofnunar og Veiðimálastofnunar;Samþykkt sem lög frá Alþingi.;3:00:00;
201;háskólarnir í Norðvesturkjördæmi;Fyrirspurninni var svarað munnlega.;;
202;Tónlistarsafn Íslands;Fyrirspurninni var svarað munnlega.;;
203;greiðslur í fæðingarorlofi;Fyrirspurninni var svarað skriflega.;;
204;ferðamenn sem leita heilbrigðisþjónustu á Íslandi;Fyrirspurninni var svarað skriflega.;;
205;vegurinn um Brekknaheiði og Langanesströnd;Fyrirspurninni var svarað skriflega.;;
206;lögreglumál tengd erlendum ferðamönnum;Fyrirspurninni var svarað skriflega.;;
207;dýravernd;Fyrirspurnin var kölluð aftur.;;
208;ráðstöfun fjár til að efla símenntun og önnur námstækifæri fullorðinna;Fyrirspurninni var svarað skriflega.;;
209;hjónavígslur og nafngiftir;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
210;löggæslumál á Seyðisfirði;Fyrirspurninni var svarað skriflega.;;
211;tollgæsla á Seyðisfirði;Fyrirspurninni var svarað skriflega.;;
212;framlög í aldarafmælissjóð Háskóla Íslands;Fyrirspurninni var svarað munnlega.;;
213;Kristnisjóður o.fl.;Ekki útrætt á 145. þingi. (Beið 1. umræðu.);;
214;orlof húsmæðra;Ekki útrætt á 145. þingi. (Beið 1. umræðu.);;
215;úttekt á aðgengi að opinberum byggingum;Fyrirspurninni var svarað skriflega.;;
216;óundirbúinn fyrirspurnatími;;;
217;markmið Íslendinga í loftslagsmálum;;;
218;kynferðisbrot gagnvart fötluðum;;;
219;makrílveiðar smábáta;;;
220;NPA-þjónusta við fatlað fólk;;;
221;þekking á einkennum ofbeldis;;;
222;húsnæði St. Jósefsspítala;Fyrirspurninni var svarað munnlega.;;
223;landbúnaður og búvörusamningur;;;
224;happdrætti og talnagetraunir;Samþykkt sem lög frá Alþingi.;0:53:00;
225;skipulagslög;Samþykkt sem lög frá Alþingi.;0:27:00;
226;lögreglulög;Ekki útrætt á 145. þingi. (Beið 1. umræðu.);;
227;innleiðing Arjeplog-samningsins;Fyrirspurninni var svarað skriflega.;;
228;sjúkratryggingar og lyfjalög;Samþykkt sem lög frá Alþingi.;5:56:00;
229;staðgöngumæðrun í velgjörðarskyni;Ekki útrætt á 145. þingi. (Var í nefnd eftir 1. umræðu.);2:18:00;
230;áhrif hvalveiða á samskipti Íslands og annarra ríkja;;;
231;óundirbúinn fyrirspurnatími;;;
232;staða fatlaðra nemenda í framhaldsskólum;;;
233;RÚV-skýrslan;;;
234;atvinnuuppbygging í Austur-Húnavatnssýslu;Fyrirspurninni var svarað munnlega.;;
235;greiðslur almannatrygginga til örorkulífeyrisþega;Fyrirspurninni var svarað skriflega.;;
236;starfsemi umdæmissjúkrahúss Austurlands;Fyrirspurninni var svarað skriflega.;;
237;framlög til Aflsins á Akureyri;;0:02:00;
238;staða heilsugæslustöðva og heimilislæknar;;;
239;frumvörp um húsnæðismál;;;
240;nýr Landspítali;;;
241;landbúnaðarháskólarnir;;;
242;efling Heilbrigðisstofnunar Vesturlands;Ekki útrætt á 145. þingi. (Var í nefnd eftir fyrri umræðu.);0:01:00;
243;rannsökuð mál hjá Samkeppniseftirlitinu;Fyrirspurninni var svarað skriflega.;;
244;kyrrsetning loftfara;Fyrirspurninni var svarað skriflega.;;
245;ferð til Kína;Fyrirspurninni var svarað skriflega.;;
246;þingsköp Alþingis;Ekki útrætt á 145. þingi. (Beið 1. umræðu.);;
247;mótun stefnu til að draga úr notkun á skaðlegum efnum í neysluvörum;Ekki útrætt á 145. þingi. (Var í nefnd eftir fyrri umræðu.);0:00:00;
248;vinnuheimilið að Kleppjárnsreykjum o.fl.;Fyrirspurninni var svarað munnlega.;;
249;niðurfærsla verðtryggðra fasteignaveðlána;;;
250;óundirbúinn fyrirspurnatími;;;
251;íslensk tunga í stafrænum heimi;;;
252;viðbrögð við hryðjuverkaárásunum í París;;;
253;endurskoðun stjórnarskrárinnar;;;
254;umfjöllun um hryðjuverkin í París í fjölmiðlum;;;
255;bygging íbúða á Hlíðarendasvæðinu;;;
256;vinna stjórnarskrárnefndar;;;
257;refsingar vegna fíkniefnabrota;Fyrirspurninni var svarað munnlega.;;
258;endurskoðun stjórnarskrár lýðveldisins Íslands;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
259;40 stunda vinnuvika;Ekki útrætt á 145. þingi. (Beið 1. umræðu.);;
260;fyrirtækjaskrá;Ekki útrætt á 145. þingi. (Beið 1. umræðu.);;
261;fæðingar- og foreldraorlof;Ekki útrætt á 145. þingi. (Var í nefnd eftir 1. umræðu.);;
262;þingsköp Alþingis;Ekki útrætt á 145. þingi. (Beið 1. umræðu.);;
263;tekjustofnar sveitarfélaga;Ekki útrætt á 145. þingi. (Var í nefnd eftir 1. umræðu.);1:40:00;
264;Landhelgisgæsla Íslands;Samþykkt sem lög frá Alþingi.;1:49:00;
265;þriðja kynslóð farsíma;Samþykkt sem lög frá Alþingi.;0:28:00;
266;væntanleg íbúakosning í Reykjanesbæ;Fyrirspurninni var svarað munnlega.;;
267;réttindi og skyldur starfsmanna ríkisins;Ekki útrætt á 145. þingi. (Beið 1. umræðu.);;
268;breikkun hringvegarins;Fyrirspurninni var svarað skriflega.;;
269;fíkniefnabrot;Fyrirspurninni var svarað skriflega.;;
270;almenn hegningarlög;Ekki útrætt á 145. þingi. (Beið 1. umræðu.);;
271;húsaleigukostnaður framhaldsskóla;Fyrirspurninni var svarað skriflega.;;
272;óundirbúinn fyrirspurnatími;;;
273;hugmyndir um einkavæðingu Landsbankans;;;
274;efling rannsókna á vistfræði melrakkans;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
275;áhrif ferðamannastraums á grunnþjónustu sveitarfélaga;;0:52:00;
276;styrking tekjustofna sveitarfélaga;;;
277;fjárveiting til löggæslu;;;
278;breyting á tollum og vörugjöldum;;;
279;25 ára reglan í bóknámi;;;
280;undirbúningur að gerð nýs kennslu- og einkaflugvallar;Fyrirspurninni var svarað skriflega.;;
281;útgjöld vegna sérfræði-, ráðgjafar- og kynningarstarfa;Fyrirspurninni var svarað skriflega.;;
282;útgjöld vegna sérfræði-, ráðgjafar- og kynningarstarfa;Fyrirspurninni var svarað skriflega.;;
283;útgjöld vegna sérfræði-, ráðgjafar- og kynningarstarfa;Fyrirspurninni var svarað skriflega.;;
284;útgjöld vegna sérfræði-, ráðgjafar- og kynningarstarfa;Fyrirspurninni var svarað skriflega.;;
285;óundirbúinn fyrirspurnatími;;;
286;útgjöld vegna sérfræði-, ráðgjafar- og kynningarstarfa;Fyrirspurninni var svarað skriflega.;;
287;rekstur Heilsugæslu höfuðborgarsvæðisins;;;
288;fjárþörf Landspítalans;;;
289;kjör öryrkja;;;
290;umferð um friðlandið á Hornströndum;;;
291;atgervisflótti ungs fólks;;;
292;framtíð ART-verkefnisins;Fyrirspurninni var svarað skriflega.;;
293;framtíð starfsemi Háskóla Íslands á Laugarvatni;Fyrirspurninni var svarað skriflega.;;
294;skuldauppgjör einstaklinga, félaga og fyrirtækja við fjármálastofnanir í meirihlutaeigu ríkisins;Fyrirspurninni var ekki svarað.;;
295;stjórnarskipunarlög;Ekki útrætt á 145. þingi. (Beið 1. umræðu.);;
296;sveitarstjórnarlög;Ekki útrætt á 145. þingi. (Var í nefnd eftir 1. umræðu.);0:55:00;
297;starfsumhverfi lögreglunnar;;;
298;almenningssamgöngur og uppbygging þeirra á höfuðborgarsvæðinu;;;
299;innsigli við framkvæmd kosninga;Fyrirspurninni var svarað skriflega.;;
300;löggæsluáætlun samkvæmt þingsályktun nr. 49/140;Fyrirspurninni var svarað munnlega.;;
301;lífeyrissjóðsiðgjöld og stéttarfélagsgjöld;Fyrirspurninni var svarað skriflega.;;
302;afnám verðtryggingar;Fyrirspurninni var svarað skriflega.;;
303;loftslagsmál og markmið Íslands;;;
304;fjáraukalög 2015;Samþykkt sem lög frá Alþingi.;8:48:00;
305;skýrsla Ríkisendurskoðunar um endurskoðun ríkisreiknings 2013;;;
306;breytingar með tilkomu Stjórnstöðvar ferðamála;Fyrirspurninni var svarað skriflega.;;
307;Vesturlandsvegur;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
308;ráðstöfun fjár til löggæslumála;Fyrirspurninni var svarað skriflega.;;
309;útreikningur rekstrarframlaga til símenntunarmiðstöðva;Fyrirspurninni var svarað skriflega.;;
310;fyrirframgreiðslur námslána;Fyrirspurninni var svarað munnlega.;;
311;óundirbúinn fyrirspurnatími;;;
312;afstaða stjórnvalda til öryggismála;;;
313;vopnaburður lögreglunnar;;;
314;staða Íslands í Schengen;;;
315;fangelsismál;;;
316;fjárveitingar til lögreglu;;;
317;rannsókn á vinnuhælinu á Kleppjárnsreykjum og aðgerðum yfirvalda gegn samskiptum stúlkna við hermenn;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
318;biðlisti vegna greiningar á athyglisbresti með ofvirkni (ADHD);Fyrirspurninni var svarað munnlega.;;
319;samkomulag stjórnvalda og slitabúa fallinna fjármálafyrirtækja;Fyrirspurninni var svarað skriflega.;;
320;túlkun ákvæða í lögum nr. 94/1986 um kjarasamninga opinberra starfsmanna;Fyrirspurninni var svarað skriflega.;;
321;eftirfylgni áætlunar um aðgerðir gegn mansali;Fyrirspurninni var svarað skriflega.;;
322;óundirbúinn fyrirspurnatími;;;
323;fræðslunefnd mjólkuriðnaðarins;Fyrirspurninni var svarað munnlega.;;
324;skýrsla um starfsemi og rekstur RÚV;Fyrirspurninni var svarað skriflega.;;
325;markmið Íslands í loftslagsmálum;;;
326;loftslagsmál;;0:10:00;
327;eftirlit með lögreglu;;2:45:00;
328;framtíðargjaldmiðill Íslands;;2:45:00;
329;hækkun bóta almannatrygginga;;0:30:00;
330;rannsókn á einkavæðingu bankanna, hinni síðari;Ekki útrætt á 145. þingi. (Var í nefnd eftir fyrri umræðu.);;
331;þingsköp Alþingis;Ekki útrætt á 145. þingi. (Var í nefnd eftir 1. umræðu.);0:05:00;
332;fullnusta refsinga;Samþykkt sem lög frá Alþingi.;11:08:00;
333;höfundalög;Samþykkt sem lög frá Alþingi.;2:16:00;
334;höfundalög;Samþykkt sem lög frá Alþingi.;0:32:00;
335;niðurstöður og úrbótatillögur í skýrslu um ofbeldi gegn fötluðum konum;Fyrirspurninni var svarað munnlega.;;
336;rannsóknir, ákærur og dómar vegna kynferðisbrota gegn fötluðu fólki;Fyrirspurninni var svarað skriflega.;;
337;rannsóknir á kynferðisbrotum gegn fötluðu fólki;Fyrirspurninni var svarað munnlega.;;
338;stefna og aðgerðaáætlun í geðheilbrigðismálum til fjögurra ára;Samþykkt sem ályktun Alþingis.;10:48:00;
339;kynfræðsla nemenda með þroskahömlun;Fyrirspurninni var svarað skriflega.;;
340;réttindi og skyldur eldri borgara;;;
341;styrkir eða niðurgreiðslur til fjölmiðla;Fyrirspurninni var svarað skriflega.;;
342;sveifluleiðréttur frumjöfnuður ríkissjóðs;Fyrirspurninni var svarað skriflega.;;
343;verðtryggðar eignir banka;Fyrirspurninni var svarað skriflega.;;
344;námsráðgjöf fyrir fanga;Fyrirspurninni var svarað skriflega.;;
345;atkvæðagreiðsla á allsherjarþingi Sameinuðu þjóðanna og afstaða til kjarnavopna;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
346;ofbeldi gegn fötluðum konum;Fyrirspurninni var svarað skriflega.;;
347;óundirbúinn fyrirspurnatími;;;
348;brottflutningur íslenskra ríkisborgara;Fyrirspurninni var svarað munnlega.;;
349;lækkun útvarpsgjalds;;;
350;afturvirkar hækkanir til aldraðra og öryrkja;;;
351;þjóðaratkvæðagreiðsla um nýja stjórnarskrá;;;
352;upphæð veiðigjalds;;;
353;fjárhagsvandi Reykjanesbæjar;;;
354;skilyrðislaus grunnframfærsla;Ekki útrætt á 145. þingi. (Var í nefnd eftir fyrri umræðu.);;
