málsnúmer;málsheiti;staða máls;heildartími;nefndir
111;íþróttalög;Samþykkt sem lög frá Alþingi.;;
112;átak í atvinnusköpun fyrir Suðurnes;Fyrirspurninni var svarað skriflega.;;
113;gistináttagjald;Fyrirspurninni var svarað munnlega.;;
114;háskólanemar og námsstyrkir;Fyrirspurninni var svarað munnlega.;;
115;nauðungarsala o.fl.;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
116;rannsókn á starfsemi lífeyrissjóðanna 1997--2011;Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
117;skyldutrygging lífeyrisréttinda og starfsemi lífeyrissjóða;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
118;breytingar á skattkerfi til að styrkja íslenskan hugverkaiðnað;Ekki útrætt á 141. þingi. (Var í nefnd eftir fyrri umræðu.);;
119;mótun reglna um verkferla og hæfnismat við opinberar embættisveitingar;Ekki útrætt á 141. þingi. (Var í nefnd eftir fyrri umræðu.);;
120;miðstöð innanlandsflugs;Ekki útrætt á 141. þingi. (Var í nefnd eftir 1. umræðu.);;
121;stuðningur við íslenska tónlist;Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
122;fækkun starfa;;;
123;húsnæðismál og skuldir heimilanna;;;
124;jafnréttismál;;;
125;mál skilanefnda og slitastjórna;;;
126;staða ESB-umsóknarinnar;;;
127;óundirbúinn fyrirspurnatími;;;
128;gjaldeyrisstaða Landsbankans;;;
129;jöfnun húshitunarkostnaðar;;;
130;tillögur stjórnlagaráðs;;;
131;gengistryggð lán;;;
132;samkomulag um fyrir fram greiddan skatt;;;
133;Farsýslan, stjórnsýslustofnun samgöngumála;Samþykkt sem lög frá Alþingi.;;
134;áfengislög;Ekki útrætt á 141. þingi. Beið 2. umræðu;;
135;breytingar á jafnréttislöggjöf;Fyrirspurninni var svarað munnlega.;;
136;kostnaður við íþróttaiðkun landsbyggðarfólks;Fyrirspurninni var svarað munnlega.;;
137;skaðsemisábyrgð;Ekki útrætt á 141. þingi. (Var í nefnd eftir 1. umræðu.);;
138;Vegagerðin, framkvæmdastofnun samgöngumála;Samþykkt sem lög frá Alþingi.;;
139;fæðuöryggi;Fyrirspurninni var svarað munnlega.;;
140;tjón af fjölgun refa;Fyrirspurninni var svarað munnlega.;;
141;staða aðildarviðræðnanna við ESB;;;
142;tækjakostur á Landspítalanum;Fyrirspurninni var svarað skriflega.;;
143;staða ferðaþjónustunnar;;;
144;Náttúruminjasafn Íslands;Fyrirspurninni var svarað munnlega.;;
145;óundirbúinn fyrirspurnatími;;;
146;flutningur málaflokks fatlaðs fólks;Fyrirspurninni var svarað munnlega.;;
147;húsakostur Listaháskóla Íslands;Fyrirspurninni var svarað munnlega.;;
148;sauðfjárveikivarnagirðingar;Fyrirspurninni var svarað skriflega.;;
149;skipulagslög;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
150;skiptileigusamningar fyrir afnot af húsnæði í orlofi eða frístundum o.fl.;Ekki útrætt á 141. þingi. Beið 2. umræðu;;
151;sala á eignarhlutum ríkisins í fjármálafyrirtækjum;Samþykkt sem lög frá Alþingi.;;
152;jafnt búsetuform barna sem búa á tveimur heimilum;Ekki útrætt á 141. þingi. (Beið síðari umræðu.);;
153;fjáraukalög 2012;Samþykkt sem lög frá Alþingi.;;
154;mótun heildstæðrar stefnu um afreksfólk í íþróttum;Ekki útrætt á 141. þingi. (Var í nefnd eftir fyrri umræðu.);;
155;samningur Sameinuðu þjóðanna um réttindi barnsins;Samþykkt sem lög frá Alþingi.;;
156;samkomulag ríkisstjórnarinnar við orkufyrirtæki;;;
157;launamunur kynjanna;;;
158;jafnréttismál;;;
159;efnahagsáætlun AGS;;;
160;niðurstaða þjóðaratkvæðagreiðslu um stjórnarskrá;;;
161;framkvæmdarvald og stjórnsýsla ríkisins í héraði;Ekki útrætt á 141. þingi. (Var í nefnd eftir 1. umræðu.);;
162;Byggðastofnun;Samþykkt sem lög frá Alþingi.;;
163;óundirbúinn fyrirspurnatími;;;
164;fyrirgreiðsla ríkisins við fjármálafyrirtæki og stofnanir í kjölfar bankahrunsins;;;
165;úrskurðarnefndir;Fyrirspurninni var svarað skriflega.;;
