þingmaður, já, nei, sat hjá, boðaði fjarvist, fjarverandi
Óli Björn Kárason,405,40,10,0,1
Hanna Katrín Friðriksson,367,40,16,13,14
Iðunn Garðarsdóttir,6,0,0,0,0
Líneik Anna Sævarsdóttir,32,1,4,0,2
Sara Elísa Þórðardóttir,3,0,0,0,0
Hafdís Gunnarsdóttir,120,20,0,0,0
Ari Trausti Guðmundsson,317,20,102,1,10
Þórhildur Sunna Ævarsdóttir,303,43,108,0,1
Teitur Björn Einarsson,407,41,0,2,6
Jóna Sólveig Elínardóttir,378,41,17,2,17
Vilhjálmur Bjarnason,407,41,0,1,7
Birgir Ármannsson,406,41,0,0,9
Daníel E. Arnarsson,6,0,0,0,0
Andrés Ingi Jónsson,306,25,95,0,16
Eygló Harðardóttir,217,23,6,0,24
Andri Þór Sturluson,1,0,0,0,0
Páll Magnússon,387,39,2,0,28
Hildur Sverrisdóttir,401,41,0,3,11
Jón Ragnar Ríkarðsson,9,2,0,0,1
Þórunn Egilsdóttir,313,30,40,14,20
Svandís Svavarsdóttir,273,26,83,64,10
Guðjón S. Brjánsson,345,18,90,0,3
Sigmundur Davíð Gunnlaugsson,192,14,43,0,207
Þórdís Kolbrún R. Gylfadóttir,276,21,0,12,7
Vilhjálmur Árnason,382,39,0,2,29
Björn Valur Gíslason,1,0,1,0,0
Guðlaugur Þór Þórðarson,149,21,1,29,61
Njáll Trausti Friðbertsson,411,39,0,0,4
Benedikt Jóhannesson,387,40,17,0,12
Jón Gunnarsson,357,41,0,0,58
Silja Dögg Gunnarsdóttir,352,35,37,1,31
Sigrún Ingibjörg Gísladóttir,166,15,0,0,0
Nichole Leigh Mosty,394,38,17,0,5
Birgitta Jónsdóttir,245,45,115,14,22
Hildur Knútsdóttir,3,0,0,0,0
Bjarni Jónsson,0,0,0,0,2
Ásmundur Friðriksson,406,41,0,0,9
Katrín Jakobsdóttir,314,22,102,0,17
Pawel Bartoszek,366,40,11,35,4
Kolbeinn Óttarsson Proppé,305,27,85,0,36
Óttarr Proppé,341,38,21,0,17
Eva Pandora Baldursdóttir,2,0,0,0,2
Oktavía Hrund Jónsdóttir,4,2,1,0,1
Theodóra S. Þorsteinsdóttir,382,39,17,0,18
Steinunn Þóra Árnadóttir,319,22,102,1,0
Sigríður Á. Andersen,344,38,4,2,56
Bjarni Benediktsson,352,36,0,2,66
Gunnar Ingiberg Guðmundsson,300,48,102,0,2
Einar Brynjólfsson,183,29,52,0,9
Gunnar Hrafn Jónsson,151,21,72,0,63
Lilja Alfreðsdóttir,350,32,40,6,28
Ómar Ásbjörn Óskarsson,1,0,0,0,0
143
Illugi Gunnarsson,618,59,0,4,183
Valgerður Gunnarsdóttir,751,66,1,7,41
Margrét Gauja Magnúsdóttir,6,0,0,0,11
Oddný G. Harðardóttir,479,42,200,22,123
Valgerður Bjarnadóttir,526,41,206,0,93
Ólafur Þór Gunnarsson,127,14,88,0,52
Páll Valur Björnsson,271,29,136,220,191
Jóhanna Kristín Björnsdóttir,11,0,0,0,1
Guðlaug Elísabet Finnsdóttir,16,0,3,0,0
Brynjar Níelsson,430,42,4,289,89
Karl Garðarsson,642,54,4,53,101
Katrín Júlíusdóttir,399,30,150,0,286
Elsa Lára Arnardóttir,764,66,7,0,29
Bjarkey Olsen Gunnarsdóttir,534,78,160,0,94
Sigurður Páll Jónsson,663,66,0,0,2
Eyrún Ingibjörg Sigþórsdóttir,11,1,0,0,0
Helgi Hjörvar,323,26,209,8,300
Ingibjörg Óðinsdóttir,13,1,0,0,0
Unnur Brá Konráðsdóttir,720,68,0,5,54
Willum Þór Þórsson,764,69,0,16,17
Björt Ólafsdóttir,538,45,208,9,65
Steingrímur J. Sigfússon,570,46,140,7,103
Freyja Haraldsdóttir,10,0,0,0,0
Guðbjartur Hannesson,526,40,205,6,89
Haraldur Benediktsson,776,68,0,5,17
Kristján Þór Júlíusson,673,59,0,4,130
Ólöf Pálína Úlfarsdóttir,261,14,0,0,5
Lilja Rafney Magnúsdóttir,576,76,135,0,79
Hanna Birna Kristjánsdóttir,717,67,0,26,56
Mörður Árnason,11,1,2,0,0
Vilhjálmur Árnason,783,68,0,0,15
Þorsteinn Sæmundsson,768,68,3,0,14
Össur Skarphéðinsson,187,11,39,4,625
Jón Þór Ólafsson,178,46,601,9,31
Vigdís Hauksdóttir,689,65,4,4,104
Gunnar Bragi Sveinsson,342,50,0,52,73
Óli Björn Kárason,1,0,0,0,0
Jóhanna María Sigmundsdóttir,567,52,1,6,240
Ásta Guðrún Helgadóttir,0,1,0,0,0
Oddgeir Ágúst Ottesen,19,0,0,0,0
Ragnheiður E. Árnadóttir,603,63,0,9,191
Jón Gunnarsson,569,63,0,3,230
Ragnheiður Ríkharðsdóttir,708,66,9,30,53
Kristján L. Möller,497,35,122,0,212
Sigurjón Kjærnested,7,1,0,0,5
Líneik Anna Sævarsdóttir,696,69,1,9,84
Höskuldur Þórhallsson,594,59,3,7,203
Pétur H. Blöndal,733,77,3,0,53
Brynhildur S. Björnsdóttir,292,15,68,1,14
Sigríður Ingibjörg Ingadóttir,459,47,217,9,119
Árni Þór Sigurðsson,517,71,146,16,52
Frosti Sigurjónsson,700,68,4,0,90
Vilhjálmur Bjarnason,708,72,16,16,54
Birgir Ármannsson,671,43,1,10,141
Ögmundur Jónasson,257,41,71,11,205
Eygló Harðardóttir,421,51,0,37,77
Haraldur Einarsson,764,67,3,1,31
