Svandís Svavarsdóttir;fæðingar- og foreldraorlof og tryggingagjald;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=84;l
Vilhjálmur Bjarnason;tekjuskattur;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=85;l
Vilhjálmur Bjarnason;tekjuskattur;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=86;l
Svandís Svavarsdóttir;skipun starfshóps til að endurbæta löggjöf um vernd, velferð og veiðar villtra fugla og spendýra;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=87;a
Óli Björn Kárason;sala ríkiseigna, lækkun skulda ríkissjóðs og fjárfesting í innviðum;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=88;a
Steingrímur J. Sigfússon;framkvæmd þingsályktunar um undirbúning að gerð þjóðhagsáætlana til langs tíma;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=89;q
Steingrímur J. Sigfússon;málefni lánsveðshóps;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=90;q
Ari Trausti Guðmundsson;íblöndunarefni í bifreiðaeldsneyti;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=91;q
Steingrímur J. Sigfússon;endurskoðun samgönguáætlunar;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=92;m
Svandís Svavarsdóttir;hagir og viðhorf aldraðra;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=93;b
Eygló Harðardóttir;umsóknarferli hjá sýslumönnum;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=94;q
Eygló Harðardóttir;kvíði barna og unglinga;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=95;m
Eygló Harðardóttir;styrkir úr menningarsjóðum;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=96;q
Eygló Harðardóttir;dreif- og fjarnám;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=97;m
Smári McCarthy;fjárlagaliðurinn Sjúkrahús, óskipt;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=98;q
Smári McCarthy;nýsköpunarverkefni fyrir fatlað fólk;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=99;q
Smári McCarthy;tilvísunarkerfi í barnalækningum;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=100;q
Steinunn Þóra Árnadóttir;almenn hegningarlög;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=101;l
Svandís Svavarsdóttir;jafnræði í skráningu foreldratengsla;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=102;a
Lilja Rafney Magnúsdóttir;tekjuskattur;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=103;l
Pawel Bartoszek;umsagnir um atvinnuleyfi útlendinga;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=104;q
Katrín Jakobsdóttir;lækkun virðisaukaskatts á gleraugum og linsum;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=105;m
Teitur Björn Einarsson;verslun með áfengi og tóbak o.fl.;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=106;l
Eygló Harðardóttir;innviða- og byggingarréttargjald;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=107;q
Einar Brynjólfsson;viðbrögð við lokun neyðarbrautar;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=108;q
Orri Páll Jóhannsson;uppbygging innviða til verndar náttúru og menningarsögulegum minjum;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=109;q
Silja Dögg Gunnarsdóttir;fæðingar- og foreldraorlof;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=110;l
Benedikt Jóhannesson;viðbótareftirlit með fjármálasamsteypum;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=111;l
Silja Dögg Gunnarsdóttir;brottnám líffæra;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=112;l
Sigríður Á. Andersen;dómstólar;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=113;l
Katrín Jakobsdóttir;stefnumörkun og aðgerðaáætlun um kolefnishlutlaust Ísland;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=114;a
